hybrid1opt particle swarm  one angle with range 0.785398
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 3.4237198748e-02  time 6.953295e+00 cpu time 8.968750 function evals 7800
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue max 6.8523675137e-02  time 1.978060e+01 cpu time 22.437500 function evals 22800

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00021933164               0
 3    0.0    0.8    1    1          10.0          0.0           0.0018149928      0.0015331236
 4    1.0    0.8    1    1           0.0          0.0           0.001756775      -0.0015359295
 5    0.0    1.5    1    1          10.0          0.0           0.005501814      0.0028026404
 6    1.0    1.5    1    1           0.0          0.0           0.0054865143      -0.0027562267
 7    0.0    2.3    1    1          10.0          0.0           0.01083328      0.0038066251
 8    1.0    2.3    1    1           0.0          0.0           0.010812244      -0.0037233311
 9    0.0    3.0    1    1          10.0          0.0           0.017414726      0.0045801512
10    1.0    3.0    1    1           0.0          0.0           0.017395439      -0.0044626346
11    0.0    3.8    1    1          10.0          0.0           0.02492988      0.0051528288
12    1.0    3.8    1    1           0.0          0.0            0.0249112      -0.0050051133
13    0.0    4.5    1    1          10.0          0.0           0.033102283      0.0055550053
14    1.0    4.5    1    1           0.0          0.0           0.033084478      -0.005380952
15    0.0    5.3    1    1          10.0          0.0           0.04170184      0.0058168322
16    1.0    5.3    1    1           0.0          0.0           0.041685165      -0.0056204798
17    0.0    6.0    1    1          10.0          0.0           0.050544437      0.0059687131
18    1.0    6.0    1    1           0.0          0.0           0.050527583      -0.0057537116
19    0.0    6.8    1    1          10.0          0.0           0.059488173      0.0060406677
20    1.0    6.8    1    1           0.0          0.0           0.059472961      -0.005811392
21    0.0    7.5    1    1          10.0          0.0           0.068444848      0.0060638225
22    1.0    7.5    1    1           0.0          0.0           0.068425368      -0.0058227961
