hybrid1opt particle swarm  one angle with range 0.785398
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue min 5.4309568700e-01  time 2.620637e+01 cpu time 29.531250 function evals 15800
 particle swarm solution min 1.9600000000e+02 max 2.0400000000e+02  fvalue max 9.8856185415e-01  time 6.802658e+01 cpu time 74.140625 function evals 47200

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
 1    0.0    0.0    0    0           0.0          0.0                    0               0
 2    1.0    0.0    1    0           0.0          0.0           0.00044976783               0
 3    0.0    0.8    1    1          10.0          0.0           0.0058905913      0.0060831054
 4    1.0    0.8    1    1           0.0          0.0           0.0057895139      -0.0061147909
 5    0.0    1.5    1    1          10.0          0.0           0.020118248      0.011627904
 6    1.0    1.5    1    1           0.0          0.0           0.020099004      -0.011581862
 7    0.0    2.3    1    1          10.0          0.0           0.042176669      0.01660022
 8    1.0    2.3    1    1           0.0          0.0           0.042146751      -0.016496033
 9    0.0    3.0    1    1          10.0          0.0           0.071191948      0.02103984
10    1.0    3.0    1    1           0.0          0.0           0.071164645      -0.020878163
11    0.0    3.8    1    1          10.0          0.0           0.10639623      0.024975825
12    1.0    3.8    1    1           0.0          0.0           0.10636883      -0.024759834
13    0.0    4.5    1    1          10.0          0.0           0.14705514      0.02843818
14    1.0    4.5    1    1           0.0          0.0           0.14703301      -0.028171689
15    0.0    5.3    1    1          10.0          0.0           0.19247453      0.031460688
16    1.0    5.3    1    1           0.0          0.0            0.1924526      -0.031140591
17    0.0    6.0    1    1          10.0          0.0            0.2420435      0.034067747
18    1.0    6.0    1    1           0.0          0.0           0.24201793      -0.033702787
19    0.0    6.8    1    1          10.0          0.0           0.29514888      0.036292944
20    1.0    6.8    1    1           0.0          0.0           0.29512539      -0.035885336
21    0.0    7.5    1    1          10.0          0.0            0.3512458      0.038166088
22    1.0    7.5    1    1           0.0          0.0           0.35122302      -0.037719074
23    0.0    8.3    1    1          10.0          0.0           0.40983057      0.039717638
24    1.0    8.3    1    1           0.0          0.0           0.40980871      -0.039234175
25    0.0    9.0    1    1          10.0          0.0           0.47044628      0.040977992
26    1.0    9.0    1    1           0.0          0.0           0.47042452      -0.04046091
27    0.0    9.8    1    1          10.0          0.0           0.53267987      0.041977409
28    1.0    9.8    1    1           0.0          0.0           0.53265936      -0.041429656
29    0.0   10.5    1    1          10.0          0.0           0.59616615      0.04274622
30    1.0   10.5    1    1           0.0          0.0           0.59614607      -0.04217073
31    0.0   11.3    1    1          10.0          0.0           0.66058304      0.043314689
32    1.0   11.3    1    1           0.0          0.0           0.66056447      -0.04271451
33    0.0   12.0    1    1          10.0          0.0           0.72565629      0.043713172
34    1.0   12.0    1    1           0.0          0.0           0.72563794      -0.043091288
35    0.0   12.8    1    1          10.0          0.0           0.79115439      0.043971939
36    1.0   12.8    1    1           0.0          0.0           0.79113795      -0.043331435
37    0.0   13.5    1    1          10.0          0.0           0.85689114      0.044122094
38    1.0   13.5    1    1           0.0          0.0           0.85687498      -0.043464414
39    0.0   14.3    1    1          10.0          0.0           0.92273213      0.044192298
40    1.0   14.3    1    1           0.0          0.0           0.92271688      -0.043520101
41    0.0   15.0    1    1          10.0          0.0           0.98858162      0.04421479
42    1.0   15.0    1    1           0.0          0.0           0.98856161      -0.043531188
