hybrid1optga genitic algorthim  one angle with range 0.785398
 ga solution min 1.9601842102e+02 max 2.0399934553e+02  fvalue min 4.4831015642e-05  time 4.682192e+02 cpu time 1066.984375 function evals 91119
 ga solution min 1.9600271419e+02 max 2.0399875200e+02  fvalue max 1.1300476379e-04  time 9.347096e+02 cputime 2129.687500 function evals 182238

Nodal information - optimization model
Node   X      Y     Restraints       Fx          Fy           U-x    U-y
77    1.0    0.5    1    1           0.0          0.0           9.3385884e-05      -2.2983066e-05
78    0.0    0.5    1    1          10.0          0.0           0.00011470982      4.1513428e-05
79    0.1    0.5    1    1           0.0          0.0           0.00011134502      2.9697043e-05
80    0.2    0.5    1    1           0.0          0.0           0.00010811619      1.9161216e-05
81    0.3    0.5    1    1           0.0          0.0           0.00010518829      1.0406569e-05
82    0.4    0.5    1    1           0.0          0.0           0.00010270446      3.4393004e-06
83    0.5    0.5    1    1           0.0          0.0           0.00010076198      -2.0399427e-06
84    0.6    0.5    1    1           0.0          0.0           9.9412519e-05      -6.4832274e-06
85    0.7    0.5    1    1           0.0          0.0           9.8578662e-05      -1.0440043e-05
86    0.8    0.5    1    1           0.0          0.0           9.8222945e-05      -1.442553e-05
87    0.9    0.5    1    1           0.0          0.0           9.8252942e-05      -1.8930708e-05
88    1.0    0.5    1    1           0.0          0.0           9.8546792e-05      -2.4398351e-05
89    0.0    0.6    1    1          10.0          0.0           0.00012210521      4.378784e-05
90    0.1    0.6    1    1           0.0          0.0           0.00011886677      3.1806972e-05
91    0.2    0.6    1    1           0.0          0.0           0.00011566802      2.1167259e-05
92    0.3    0.6    1    1           0.0          0.0           0.00011257509      1.2213597e-05
93    0.4    0.6    1    1           0.0          0.0           0.00010978663      4.8825804e-06
94    0.5    0.6    1    1           0.0          0.0           0.00010746733      -1.0350292e-06
95    0.6    0.6    1    1           0.0          0.0           0.00010568913      -5.9518628e-06
96    0.7    0.6    1    1           0.0          0.0           0.00010448227      -1.0366356e-05
97    0.8    0.6    1    1           0.0          0.0           0.00010379279      -1.4745528e-05
98    0.9    0.6    1    1           0.0          0.0           0.00010357145      -1.9571043e-05
99    1.0    0.6    1    1           0.0          0.0           0.00010365548      -2.5170027e-05
100    0.0    0.7    1    1          10.0          0.0           0.00012987237      4.5841717e-05
101    0.1    0.7    1    1           0.0          0.0           0.00012663617      3.3493605e-05
102    0.2    0.7    1    1           0.0          0.0           0.00012315103      2.2818156e-05
103    0.3    0.7    1    1           0.0          0.0           0.00011961463      1.3782457e-05
104    0.4    0.7    1    1           0.0          0.0           0.00011636044      6.2468858e-06
105    0.5    0.7    1    1           0.0          0.0           0.00011360577      -4.948677e-09
106    0.6    0.7    1    1           0.0          0.0           0.00011143446      -5.2719834e-06
107    0.7    0.7    1    1           0.0          0.0           0.00010991013      -1.0041378e-05
108    0.8    0.7    1    1           0.0          0.0           0.00010898307      -1.4744497e-05
109    0.9    0.7    1    1           0.0          0.0           0.00010855329      -1.9814723e-05
110    1.0    0.7    1    1           0.0          0.0           0.00010848267      -2.546451e-05
111    0.0    0.8    1    1          10.0          0.0           0.00013905845      4.7519243e-05
112    0.1    0.8    1    1           0.0          0.0           0.00013491929      3.5103102e-05
113    0.2    0.8    1    1           0.0          0.0           0.00013055951      2.4506852e-05
114    0.3    0.8    1    1           0.0          0.0           0.00012629222      1.5382648e-05
115    0.4    0.8    1    1           0.0          0.0           0.00012234412      7.6658287e-06
116    0.5    0.8    1    1           0.0          0.0           0.0001189692      1.1259351e-06
117    0.6    0.8    1    1           0.0          0.0           0.00011633502      -4.4606248e-06
118    0.7    0.8    1    1           0.0          0.0           0.00011453254      -9.5425424e-06
119    0.8    0.8    1    1           0.0          0.0           0.00011349898      -1.4524666e-05
120    0.9    0.8    1    1           0.0          0.0           0.00011308288      -1.9802516e-05
121    1.0    0.8    1    1           0.0          0.0           0.00011299756      -2.551393e-05
