8.65229e-0520.10, 0.0001020420.10,
8.65369e-0520.10, 0.00010205720.10,
8.65508e-0520.10, 0.00010207320.10,
8.65648e-0520.10, 0.00010208920.10,
8.65787e-0520.10, 0.00010210620.10,
8.65926e-0520.10, 0.00010212220.10,
8.66065e-0520.10, 0.00010213820.10,
8.66204e-0520.10, 0.00010215420.10,
8.66344e-0520.10, 0.00010217120.10,
8.66482e-0520.10, 0.00010218720.10,
8.66621e-0520.10, 0.00010220320.10,
8.6676e-0520.10, 0.00010221920.10,
8.66899e-0520.10, 0.00010223620.10,
8.67037e-0520.10, 0.00010225220.10,
8.67176e-0520.10, 0.00010226820.10,
8.67315e-0520.10, 0.00010228420.10,
8.67453e-0520.10, 0.000102320.10,
8.67591e-0520.10, 0.00010231720.10,
8.67729e-0520.10, 0.00010233320.10,
8.67867e-0520.10, 0.00010234920.10,
8.68005e-0520.10, 0.00010236520.10,
8.68143e-0520.10, 0.00010238120.10,
8.68281e-0520.10, 0.00010239720.10,
8.68419e-0520.10, 0.00010241320.10,
8.68556e-0520.10, 0.0001024320.10,
8.68694e-0520.10, 0.00010244620.10,
8.68831e-0520.10, 0.00010246220.10,
8.68969e-0520.10, 0.00010247820.10,
8.69106e-0520.10, 0.00010249420.10,
8.69243e-0520.10, 0.0001025120.10,
8.6938e-0520.10, 0.00010252620.10,
8.69517e-0520.10, 0.00010254220.10,
8.69654e-0520.10, 0.00010255820.10,
8.69791e-0520.10, 0.00010257420.10,
8.69928e-0520.10, 0.0001025920.10,
8.70064e-0520.10, 0.00010260620.10,
8.70201e-0520.10, 0.00010262220.10,
8.70338e-0520.10, 0.00010263820.10,
8.70474e-0520.10, 0.00010265420.10,
8.7061e-0520.10, 0.0001026720.10,
8.70746e-0520.10, 0.00010268620.10,
8.70883e-0520.10, 0.00010270220.10,
8.71019e-0520.10, 0.00010271820.10,
8.71155e-0520.10, 0.00010273420.10,
8.71291e-0520.10, 0.0001027520.10,
8.71426e-0520.10, 0.00010276520.10,
8.71562e-0520.10, 0.00010278120.10,
8.71698e-0520.10, 0.00010279720.10,
8.71833e-0520.10, 0.00010281320.10,
8.71969e-0520.10, 0.00010282920.10,
8.72104e-0520.10, 0.00010284520.10,
8.7224e-0520.10, 0.00010286120.10,
8.72375e-0520.10, 0.00010287620.10,
8.7251e-0520.10, 0.00010289220.10,
8.72645e-0520.10, 0.00010290820.10,
8.7278e-0520.10, 0.00010292420.10,
8.72915e-0520.10, 0.0001029420.10,
8.7305e-0520.10, 0.00010295520.10,
8.73184e-0520.10, 0.00010297120.10,
8.73319e-0520.10, 0.00010298720.10,
8.73453e-0520.10, 0.00010300320.10,
8.73588e-0520.10, 0.00010301820.10,
8.73722e-0520.10, 0.00010303420.10,
8.73856e-0520.10, 0.0001030520.10,
8.73991e-0520.10, 0.00010306620.10,
8.74125e-0520.10, 0.00010308120.10,
8.74259e-0520.10, 0.00010309720.10,
8.74393e-0520.10, 0.00010311320.10,
8.74526e-0520.10, 0.00010312820.10,
8.7466e-0520.10, 0.00010314420.10,
8.74794e-0520.10, 0.0001031620.10,
8.74927e-0520.10, 0.00010317520.10,
8.75061e-0520.10, 0.00010319120.10,
8.75194e-0520.10, 0.00010320620.10,
8.75328e-0520.10, 0.00010322220.10,
8.75461e-0520.10, 0.00010323820.10,
8.75594e-0520.10, 0.00010325320.10,
8.75727e-0520.10, 0.00010326920.10,
8.7586e-0520.10, 0.00010328420.10,
8.75993e-0520.10, 0.000103320.10,
8.76126e-0520.10, 0.00010331520.10,
8.76258e-0520.10, 0.00010333120.10,
8.76391e-0520.10, 0.00010334620.10,
8.76524e-0520.10, 0.00010336220.10,
8.76656e-0520.10, 0.00010337720.10,
8.76788e-0520.10, 0.00010339320.10,
8.76921e-0520.10, 0.00010340820.10,
8.77053e-0520.10, 0.00010342420.10,
8.77185e-0520.10, 0.00010343920.10,
8.77317e-0520.10, 0.00010345520.10,
8.77449e-0520.10, 0.0001034720.10,
8.77581e-0520.10, 0.00010348620.10,
8.77713e-0520.10, 0.00010350120.10,
8.77844e-0520.10, 0.00010351620.10,
8.77976e-0520.10, 0.00010353220.10,
8.78107e-0520.10, 0.00010354720.10,
8.78239e-0520.10, 0.00010356320.10,
8.7837e-0520.10, 0.00010357820.10,
8.78501e-0520.10, 0.00010359320.10,
8.78632e-0520.10, 0.00010360920.10,
8.78764e-0520.10, 0.00010362420.10,
8.78894e-0520.10, 0.00010363920.10,
8.79025e-0520.10, 0.00010365520.10,
8.79156e-0520.10, 0.0001036720.10,
8.79287e-0520.10, 0.00010368520.10,
8.79418e-0520.10, 0.00010370120.10,
8.79548e-0520.10, 0.00010371620.10,
8.79679e-0520.10, 0.00010373120.10,
8.79809e-0520.10, 0.00010374620.10,
8.79939e-0520.10, 0.00010376220.10,
8.80069e-0520.10, 0.00010377720.10,
8.802e-0520.10, 0.00010379220.10,
8.8033e-0520.10, 0.00010380720.10,
8.80459e-0520.10, 0.00010382220.10,
8.80589e-0520.10, 0.00010383820.10,
8.80719e-0520.10, 0.00010385320.10,
8.80849e-0520.10, 0.00010386820.10,
8.80978e-0520.10, 0.00010388320.10,
8.81108e-0520.10, 0.00010389820.10,
8.81237e-0520.10, 0.00010391320.10,
8.81367e-0520.10, 0.00010392920.10,
8.81496e-0520.10, 0.00010394420.10,
8.81625e-0520.10, 0.00010395920.10,
8.81754e-0520.10, 0.00010397420.10,
8.81883e-0520.10, 0.00010398920.10,
8.82012e-0520.10, 0.00010400420.10,
8.82141e-0520.10, 0.00010401920.10,
8.82269e-0520.10, 0.00010403420.10,
8.82398e-0520.10, 0.00010404920.10,
8.82527e-0520.10, 0.00010406420.10,
8.82655e-0520.10, 0.00010407920.10,
8.82783e-0520.10, 0.00010409420.10,
8.82912e-0520.10, 0.00010410920.10,
8.8304e-0520.10, 0.00010412420.10,
8.83168e-0520.10, 0.00010413920.10,
8.83296e-0520.10, 0.00010415420.10,
8.83424e-0520.10, 0.00010416920.10,
8.83552e-0520.10, 0.00010418420.10,
8.8368e-0520.10, 0.00010419920.10,
8.83807e-0520.10, 0.00010421420.10,
8.83935e-0520.10, 0.00010422920.10,
8.84062e-0520.10, 0.00010424420.10,
8.8419e-0520.10, 0.00010425920.10,
8.84317e-0520.10, 0.00010427420.10,
8.84444e-0520.10, 0.00010428920.10,
